Customer_Id,Age,Income_Level,Claim_History,Credit_Score,Risk1,Risk2,Risk3,Risk4,RiskFinal
10000,23,70541,5,728,1,2,3,2,2
10001,26,54168,0,792,1,3,1,1,1
10002,29,73899,4,719,1,2,3,2,2
10003,20,63381,5,639,1,2,3,3,3
10004,25,38794,3,720,1,3,3,2,3
10005,41,87188,4,811,2,2,3,1,2
10006,55,94891,3,836,3,2,3,1,3
10007,35,61003,3,755,2,2,3,1,2
10008,43,116249,0,811,2,1,1,1,1
10009,32,49083,4,797,2,3,3,1,3
10010,69,62099,2,626,3,2,2,3,2.5
10011,47,110698,1,603,2,1,2,3,2
10012,31,90301,4,619,2,2,3,3,2.5
10013,65,24648,4,811,3,3,3,1,3
10014,64,105009,2,646,3,1,2,3,3
10015,53,29783,1,656,3,3,2,2,2.5
10016,69,114236,4,678,3,1,3,2,3
10017,48,107359,3,523,2,1,3,3,3
10018,53,49224,0,654,3,3,1,2,3
10019,62,117264,4,653,3,1,3,2,3
10020,62,73889,0,704,3,2,1,2,2
10021,43,51844,4,724,2,3,3,2,2.5
10022,58,103753,2,799,3,1,2,1,2
10023,56,117504,0,738,3,1,1,2,2
10024,68,27364,4,548,3,3,3,3,3
10025,64,107930,4,750,3,1,3,2,3
10026,43,89640,1,832,2,2,2,1,2
10027,70,134035,4,602,3,1,3,3,3
10028,63,117967,0,816,3,1,1,1,1
10029,63,47896,4,768,3,3,3,1,3
10030,45,24313,5,668,2,3,3,2,2.5
10031,51,107642,3,682,3,1,3,2,3
10032,52,53299,2,766,3,3,2,1,3
10033,56,121335,4,646,3,1,3,3,3
10034,27,36781,5,828,1,3,3,1,2
10035,69,105191,2,714,3,1,2,2,2
10036,25,98964,0,549,1,2,1,3,2
10037,56,90036,0,723,3,2,1,2,2
10038,33,118108,3,550,2,1,3,3,3
10039,38,73907,1,562,2,2,2,3,2
10040,25,66966,1,804,1,2,2,1,1.5
10041,40,73501,4,712,2,2,3,2,2
10042,70,64875,2,611,3,2,2,3,2.5
10043,54,145535,4,772,3,1,3,1,2
10044,26,144888,0,539,1,1,1,3,1
10045,56,93631,1,826,3,2,2,1,2
10046,51,46211,3,634,3,3,3,3,3
10047,54,72860,4,711,3,2,3,2,2.5
10048,24,123454,0,730,1,1,1,2,1
10049,26,116983,5,721,1,1,3,2,2
10050,43,146348,0,569,2,1,1,3,2
10051,54,66068,4,826,3,2,3,1,3
10052,48,63683,0,579,2,2,1,3,2
10053,65,41328,4,581,3,3,3,3,3
10054,36,70835,5,642,2,2,3,3,2.5
10055,42,45929,0,519,2,3,1,3,3
10056,32,35126,4,646,2,3,3,3,3
10057,30,148655,3,570,1,1,3,3,2
10058,43,92642,3,807,2,2,3,1,2
10059,27,40098,4,544,1,3,3,3,3
10060,42,65337,0,593,2,2,1,3,2
10061,70,28356,1,625,3,3,2,3,3
10062,62,104907,4,649,3,1,3,3,3
10063,68,138557,1,668,3,1,2,2,2
10064,32,125748,3,641,2,1,3,3,3
10065,45,99954,1,826,2,2,2,1,2
10066,42,71646,2,722,2,2,2,2,2
10067,69,121869,3,775,3,1,3,1,2
10068,27,101551,0,515,1,1,1,3,1
10069,53,94222,4,683,3,2,3,2,2.5
10070,62,34851,4,692,3,3,3,2,3
10071,69,61700,4,618,3,2,3,3,3
10072,53,76843,5,623,3,2,3,3,3
10073,23,143411,4,652,1,1,3,2,2
10074,40,63964,3,641,2,2,3,3,2.5
10075,34,83653,5,757,2,2,3,1,2
10076,67,66619,1,659,3,2,2,2,2
10077,62,77078,2,724,3,2,2,2,2
10078,40,118942,5,657,2,1,3,2,2
10079,52,39956,5,568,3,3,3,3,3
10080,34,99408,1,726,2,2,2,2,2
10081,44,116476,0,662,2,1,1,2,1.5
10082,44,32884,5,797,2,3,3,1,3
10083,20,135104,4,620,1,1,3,3,2
10084,56,47121,4,635,3,3,3,3,3
10085,64,67420,3,547,3,2,3,3,3
10086,64,64700,3,569,3,2,3,3,3
10087,30,38437,2,794,1,3,2,1,2
10088,65,69140,4,605,3,2,3,3,3
10089,40,39132,2,596,2,3,2,3,2.5
10090,24,54523,3,763,1,3,3,1,2
10091,34,77405,4,543,2,2,3,3,2.5
10092,40,118299,3,837,2,1,3,1,2
10093,53,58401,0,762,3,3,1,1,2
10094,68,85875,0,558,3,2,1,3,3
10095,57,125867,5,803,3,1,3,1,2
10096,68,89518,4,544,3,2,3,3,3
10097,23,25667,5,665,1,3,3,2,3
10098,35,136314,3,562,2,1,3,3,3
10099,33,36403,1,542,2,3,2,3,2.5
10100,67,86795,0,810,3,2,1,1,2
10101,25,28768,3,517,1,3,3,3,3
10102,38,145982,4,807,2,1,3,1,2
10103,45,25078,3,598,2,3,3,3,3
10104,37,34173,4,641,2,3,3,3,3
10105,59,106025,1,803,3,1,2,1,2
10106,37,135417,0,548,2,1,1,3,2
10107,67,51132,4,629,3,3,3,3,3
10108,55,122826,2,850,3,1,2,1,2
10109,55,136045,5,840,3,1,3,1,2
10110,35,101834,4,574,2,1,3,3,3
10111,61,146046,4,717,3,1,3,2,3
10112,47,122889,5,823,2,1,3,1,2
10113,21,83525,0,537,1,2,1,3,2
10114,43,90591,3,644,2,2,3,3,2.5
10115,70,74086,1,649,3,2,2,3,2.5
10116,37,100557,0,774,2,1,1,1,1
10117,47,56046,4,514,2,3,3,3,3
10118,67,68624,2,799,3,2,2,1,2
10119,20,116008,4,564,1,1,3,3,2
10120,44,52823,3,623,2,3,3,3,3
10121,59,102179,4,549,3,1,3,3,3
10122,51,77719,3,737,3,2,3,2,2.5
10123,58,28246,3,629,3,3,3,3,3
10124,33,74841,1,737,2,2,2,2,2
10125,41,49791,4,701,2,3,3,2,2.5
10126,65,143941,0,569,3,1,1,3,2
10127,26,144154,4,763,1,1,3,1,1
10128,37,141120,0,515,2,1,1,3,2
10129,55,89231,0,703,3,2,1,2,2
10130,46,144780,3,550,2,1,3,3,3
10131,20,34692,2,513,1,3,2,3,3
10132,26,141194,3,546,1,1,3,3,2
10133,51,134612,3,574,3,1,3,3,3
10134,53,108400,1,648,3,1,2,3,3
10135,20,80974,3,694,1,2,3,2,2
10136,45,135603,1,515,2,1,2,3,2
10137,56,40593,0,755,3,3,1,1,2
10138,52,132319,3,811,3,1,3,1,2
10139,35,32799,0,694,2,3,1,2,2
10140,23,66133,5,758,1,2,3,1,2
10141,19,114458,3,669,1,1,3,2,2
10142,33,37106,3,666,2,3,3,2,2.5
10143,35,36761,1,711,2,3,2,2,2
10144,31,143758,1,729,2,1,2,2,2
10145,47,70482,4,520,2,2,3,3,2.5
10146,39,72314,0,725,2,2,1,2,2
10147,29,143911,0,781,1,1,1,1,1
10148,64,145422,0,580,3,1,1,3,2
10149,31,144559,3,507,2,1,3,3,3
10150,23,88143,5,768,1,2,3,1,2
10151,68,33823,4,837,3,3,3,1,3
10152,56,76343,2,670,3,2,2,2,2
10153,34,101557,1,655,2,1,2,2,2
10154,48,25988,5,634,2,3,3,3,3
10155,33,72368,2,643,2,2,2,3,2
10156,51,117187,5,843,3,1,3,1,2
10157,68,69328,0,665,3,2,1,2,2
10158,70,116189,3,575,3,1,3,3,3
10159,58,145614,3,541,3,1,3,3,3
10160,20,81854,0,806,1,2,1,1,1
10161,39,144340,1,540,2,1,2,3,2
10162,68,87337,4,622,3,2,3,3,3
10163,37,68999,3,535,2,2,3,3,2.5
10164,59,119693,2,621,3,1,2,3,3
10165,41,35133,0,611,2,3,1,3,3
10166,60,146937,0,744,3,1,1,2,2
10167,30,49349,3,839,1,3,3,1,2
10168,38,70348,5,708,2,2,3,2,2
10169,21,128745,4,511,1,1,3,3,2
10170,55,127517,3,796,3,1,3,1,2
10171,64,118038,0,516,3,1,1,3,2
10172,29,44219,4,552,1,3,3,3,3
10173,54,132161,5,719,3,1,3,2,3
10174,52,55137,1,795,3,3,2,1,3
10175,63,86965,3,826,3,2,3,1,3
10176,26,37298,5,835,1,3,3,1,2
10177,26,108425,4,532,1,1,3,3,2
10178,34,57050,3,647,2,3,3,3,3
10179,69,141876,4,844,3,1,3,1,2
10180,47,86918,0,546,2,2,1,3,2
10181,31,41852,5,537,2,3,3,3,3
10182,23,33250,4,758,1,3,3,1,2
10183,45,120418,4,516,2,1,3,3,3
10184,37,125717,3,569,2,1,3,3,3
10185,48,92807,2,632,2,2,2,3,2
10186,64,95543,3,609,3,2,3,3,3
10187,40,129889,4,838,2,1,3,1,2
10188,39,117281,5,760,2,1,3,1,2
10189,69,66359,3,645,3,2,3,3,3
10190,44,57451,2,659,2,3,2,2,2
10191,36,106090,4,576,2,1,3,3,3
10192,23,94921,5,552,1,2,3,3,3
10193,56,98388,4,533,3,2,3,3,3
10194,62,137030,3,575,3,1,3,3,3
10195,31,145961,0,558,2,1,1,3,2
10196,64,69067,4,616,3,2,3,3,3
10197,62,24192,2,542,3,3,2,3,3
10198,24,31483,0,822,1,3,1,1,1
10199,23,43821,4,574,1,3,3,3,3
10200,53,40030,0,726,3,3,1,2,3
10201,26,22807,3,789,1,3,3,1,2
10202,39,106047,5,644,2,1,3,3,3
10203,52,87341,4,778,3,2,3,1,3
10204,53,41080,0,720,3,3,1,2,3
10205,64,110838,3,717,3,1,3,2,3
10206,62,34740,3,773,3,3,3,1,3
10207,35,38229,5,718,2,3,3,2,2.5
10208,58,95089,3,627,3,2,3,3,3
10209,45,34479,5,709,2,3,3,2,2.5
10210,36,97476,4,503,2,2,3,3,2.5
10211,46,69439,2,571,2,2,2,3,2
10212,19,112475,0,654,1,1,1,2,1
10213,37,56568,5,646,2,3,3,3,3
10214,19,135554,2,834,1,1,2,1,1
10215,39,80979,0,517,2,2,1,3,2
10216,38,93452,3,546,2,2,3,3,2.5
10217,70,118783,5,636,3,1,3,3,3
10218,36,149115,3,552,2,1,3,3,3
10219,26,43205,2,795,1,3,2,1,2
10220,45,76638,3,836,2,2,3,1,2
10221,54,66831,3,692,3,2,3,2,2.5
10222,39,143803,0,831,2,1,1,1,1
10223,37,80237,1,666,2,2,2,2,2
10224,31,65752,0,600,2,2,1,3,2
10225,40,96555,4,716,2,2,3,2,2
10226,45,65240,2,536,2,2,2,3,2
10227,37,48832,2,509,2,3,2,3,2.5
10228,47,110554,4,583,2,1,3,3,3
10229,48,22850,0,533,2,3,1,3,3
10230,30,96156,3,542,1,2,3,3,3
10231,42,69586,3,777,2,2,3,1,2
10232,36,145829,5,703,2,1,3,2,2
10233,35,99168,0,510,2,2,1,3,2
10234,47,96023,0,608,2,2,1,3,2
10235,20,118627,0,718,1,1,1,2,1
10236,64,88726,3,655,3,2,3,2,2.5
10237,23,66297,0,533,1,2,1,3,2
10238,36,118070,3,808,2,1,3,1,2
10239,25,37647,0,726,1,3,1,2,2
10240,47,71557,3,567,2,2,3,3,2.5
10241,49,52610,3,800,2,3,3,1,3
10242,45,88672,4,663,2,2,3,2,2
10243,19,38661,4,521,1,3,3,3,3
10244,65,135528,0,521,3,1,1,3,2
10245,42,92123,0,604,2,2,1,3,2
10246,25,33634,4,559,1,3,3,3,3
10247,34,142791,4,785,2,1,3,1,2
10248,56,32167,3,616,3,3,3,3,3
10249,22,34620,0,717,1,3,1,2,2
10250,43,130554,4,754,2,1,3,1,2
10251,39,78823,3,719,2,2,3,2,2
10252,45,125138,4,646,2,1,3,3,3
10253,28,100499,1,791,1,1,2,1,1
10254,41,20912,4,538,2,3,3,3,3
10255,29,76895,4,518,1,2,3,3,3
10256,63,122952,5,732,3,1,3,2,3
10257,54,69931,0,702,3,2,1,2,2
10258,24,96639,3,696,1,2,3,2,2
10259,57,48224,0,841,3,3,1,1,2
10260,37,53126,0,773,2,3,1,1,2
10261,46,70314,4,814,2,2,3,1,2
10262,48,33578,0,663,2,3,1,2,2
10263,64,28753,0,569,3,3,1,3,3
10264,38,99136,3,744,2,2,3,2,2
10265,60,89222,1,671,3,2,2,2,2
10266,26,70280,3,832,1,2,3,1,2
10267,67,135887,1,590,3,1,2,3,3
10268,30,39720,0,779,1,3,1,1,1
10269,42,115575,0,812,2,1,1,1,1
10270,59,57650,5,547,3,3,3,3,3
10271,64,93497,1,602,3,2,2,3,2.5
10272,23,39033,5,629,1,3,3,3,3
10273,53,137008,4,521,3,1,3,3,3
10274,32,35257,2,765,2,3,2,1,2
10275,24,64743,1,766,1,2,2,1,1.5
10276,45,37448,4,574,2,3,3,3,3
10277,50,107935,5,515,2,1,3,3,3
10278,57,40112,5,670,3,3,3,2,3
10279,31,113605,3,595,2,1,3,3,3
10280,64,146071,1,660,3,1,2,2,2
10281,54,50746,3,774,3,3,3,1,3
10282,63,51096,0,818,3,3,1,1,2
10283,69,94162,4,649,3,2,3,3,3
10284,70,127115,0,698,3,1,1,2,2
10285,48,85507,0,516,2,2,1,3,2
10286,60,26406,1,655,3,3,2,2,2.5
10287,63,119825,0,614,3,1,1,3,2
10288,56,42273,1,505,3,3,2,3,3
10289,70,99488,2,760,3,2,2,1,2
10290,34,26869,4,726,2,3,3,2,2.5
10291,19,106557,3,713,1,1,3,2,2
10292,46,37433,5,544,2,3,3,3,3
10293,19,66575,5,530,1,2,3,3,3
10294,63,57401,2,603,3,3,2,3,3
10295,64,145953,1,507,3,1,2,3,3
10296,42,37782,0,842,2,3,1,1,2
10297,49,91200,3,804,2,2,3,1,2
10298,62,72139,5,835,3,2,3,1,3
10299,57,54239,2,726,3,3,2,2,2.5
10300,46,101418,3,652,2,1,3,2,2
10301,43,80176,2,721,2,2,2,2,2
10302,24,148131,2,799,1,1,2,1,1
10303,40,31438,3,637,2,3,3,3,3
10304,37,100478,2,796,2,1,2,1,1.5
10305,63,36520,4,723,3,3,3,2,3
10306,43,136209,2,647,2,1,2,3,2
10307,47,72894,0,512,2,2,1,3,2
10308,54,23688,0,578,3,3,1,3,3
10309,26,124896,4,556,1,1,3,3,2
10310,20,107706,1,720,1,1,2,2,1.5
10311,35,82774,4,827,2,2,3,1,2
10312,70,22101,4,730,3,3,3,2,3
10313,66,40562,0,719,3,3,1,2,3
10314,35,133367,2,716,2,1,2,2,2
10315,51,134300,3,729,3,1,3,2,3
10316,41,36553,3,687,2,3,3,2,2.5
10317,29,132984,1,600,1,1,2,3,2
10318,43,38019,4,781,2,3,3,1,3
10319,68,70107,1,519,3,2,2,3,2.5
10320,41,77145,3,631,2,2,3,3,2.5
10321,26,106586,3,591,1,1,3,3,2
10322,64,132654,3,813,3,1,3,1,2
10323,18,116995,2,662,1,1,2,2,1.5
10324,37,108143,3,633,2,1,3,3,3
10325,64,36276,3,726,3,3,3,2,3
10326,23,71025,5,730,1,2,3,2,2
10327,39,26608,2,540,2,3,2,3,2.5
10328,57,30666,3,806,3,3,3,1,3
10329,30,51986,1,522,1,3,2,3,3
10330,37,128946,2,738,2,1,2,2,2
10331,43,70574,3,572,2,2,3,3,2.5
10332,52,68973,4,528,3,2,3,3,3
10333,32,81030,5,645,2,2,3,3,2.5
10334,26,69095,5,562,1,2,3,3,3
10335,27,143756,2,781,1,1,2,1,1
10336,36,47708,4,515,2,3,3,3,3
10337,53,38799,3,740,3,3,3,2,3
10338,49,120754,3,715,2,1,3,2,2
10339,66,72662,0,548,3,2,1,3,3
10340,51,97678,5,715,3,2,3,2,2.5
10341,69,80916,4,639,3,2,3,3,3
10342,31,34229,2,546,2,3,2,3,2.5
10343,41,136081,0,516,2,1,1,3,2
10344,68,124685,1,511,3,1,2,3,3
10345,50,121431,0,670,2,1,1,2,1.5
10346,49,31287,2,791,2,3,2,1,2
10347,31,106587,4,749,2,1,3,2,2
10348,37,45386,5,828,2,3,3,1,3
10349,31,82567,4,800,2,2,3,1,2
10350,48,121006,4,547,2,1,3,3,3
10351,54,28969,0,557,3,3,1,3,3
10352,69,78474,3,637,3,2,3,3,3
10353,22,49498,1,665,1,3,2,2,2
10354,28,90012,3,518,1,2,3,3,3
10355,42,120687,3,836,2,1,3,1,2
10356,64,74607,4,506,3,2,3,3,3
10357,51,52883,2,823,3,3,2,1,3
10358,38,131241,2,637,2,1,2,3,2
10359,63,34415,4,698,3,3,3,2,3
10360,38,36507,4,655,2,3,3,2,2.5
10361,68,26451,0,792,3,3,1,1,2
10362,54,51446,4,765,3,3,3,1,3
10363,36,38304,0,689,2,3,1,2,2
10364,64,73693,4,829,3,2,3,1,3
10365,24,99076,3,808,1,2,3,1,2
10366,64,89634,3,699,3,2,3,2,2.5
10367,48,110555,0,584,2,1,1,3,2
10368,57,128242,4,539,3,1,3,3,3
10369,70,73244,3,757,3,2,3,1,3
10370,68,37015,2,625,3,3,2,3,3
10371,68,144631,2,626,3,1,2,3,3
10372,56,116359,4,825,3,1,3,1,2
10373,32,81478,0,522,2,2,1,3,2
10374,21,96978,3,576,1,2,3,3,3
10375,57,67139,0,634,3,2,1,3,3
10376,61,142244,3,819,3,1,3,1,2
10377,26,125975,0,582,1,1,1,3,1
10378,66,98240,1,695,3,2,2,2,2
10379,70,24654,5,743,3,3,3,2,3
10380,57,92715,3,673,3,2,3,2,2.5
10381,56,104515,4,780,3,1,3,1,2
10382,18,144872,2,590,1,1,2,3,2
10383,37,149309,3,598,2,1,3,3,3
10384,31,109568,0,839,2,1,1,1,1
10385,50,37008,5,798,2,3,3,1,3
10386,23,72194,5,511,1,2,3,3,3
10387,38,64348,3,584,2,2,3,3,2.5
10388,43,49599,4,606,2,3,3,3,3
10389,69,65872,0,831,3,2,1,1,2
10390,33,105079,4,729,2,1,3,2,2
10391,38,86439,4,514,2,2,3,3,2.5
10392,47,37265,4,510,2,3,3,3,3
10393,51,27243,4,627,3,3,3,3,3
10394,70,117683,0,600,3,1,1,3,2
10395,42,134865,3,585,2,1,3,3,3
10396,45,40903,3,803,2,3,3,1,3
10397,41,140657,0,646,2,1,1,3,2
10398,25,34177,0,802,1,3,1,1,1
10399,55,82034,4,741,3,2,3,2,2.5
10400,38,25889,0,564,2,3,1,3,3
10401,55,26586,0,600,3,3,1,3,3
10402,25,112247,4,572,1,1,3,3,2
10403,24,120373,4,771,1,1,3,1,1
10404,25,82036,3,802,1,2,3,1,2
10405,54,82147,3,596,3,2,3,3,3
10406,69,57390,4,635,3,3,3,3,3
10407,55,65081,0,589,3,2,1,3,3
10408,37,100688,0,785,2,1,1,1,1
10409,58,61576,0,574,3,2,1,3,3
10410,58,96100,0,651,3,2,1,2,2
10411,47,83612,3,658,2,2,3,2,2
10412,55,146698,0,543,3,1,1,3,2
10413,56,22318,0,593,3,3,1,3,3
10414,43,42297,1,841,2,3,2,1,2
10415,62,131846,2,814,3,1,2,1,2
10416,29,145344,4,689,1,1,3,2,2
10417,68,30296,0,733,3,3,1,2,3
10418,33,113436,4,666,2,1,3,2,2
10419,43,146718,1,512,2,1,2,3,2
10420,30,81101,4,834,1,2,3,1,2
10421,64,23159,2,605,3,3,2,3,3
10422,53,54884,5,803,3,3,3,1,3
10423,35,61488,3,610,2,2,3,3,2.5
10424,52,114213,0,833,3,1,1,1,1
10425,45,87585,1,601,2,2,2,3,2
10426,68,123578,4,536,3,1,3,3,3
10427,43,119354,2,803,2,1,2,1,1.5
10428,70,67252,5,507,3,2,3,3,3
10429,19,53342,1,569,1,3,2,3,3
10430,65,110072,1,562,3,1,2,3,3
10431,38,67469,3,614,2,2,3,3,2.5
10432,63,37099,0,811,3,3,1,1,2
10433,54,36814,4,846,3,3,3,1,3
10434,28,121562,0,844,1,1,1,1,1
10435,39,54959,5,514,2,3,3,3,3
10436,40,33664,0,586,2,3,1,3,3
10437,20,131366,1,590,1,1,2,3,2
10438,68,144755,3,648,3,1,3,3,3
10439,43,82280,2,751,2,2,2,1,2
10440,30,39758,2,755,1,3,2,1,2
